"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.851290708E0,1.780098267E0,-4.496798859E0,3.820355530E0,6.163202592E0
1.861361708E0,1.124910736E0,-4.063150635E0,4.201013947E0,5.951733817E0
1.871401708E0,4.858895874E-1,-3.778742065E0,3.918102264E0,5.465025676E0
1.881472708E0,2.953358459E-1,-3.656745758E0,2.854863281E0,4.648575820E0
1.891543708E0,-1.886077881E-2,-3.435056763E0,9.189390564E-1,3.555899279E0
1.901583708E0,-1.815724182E-1,-3.937561798E0,1.556762695E-2,3.941776732E0
1.911654708E0,-3.722758484E-1,-4.812043304E0,3.701802063E-1,4.840597428E0
1.921725708E0,-9.084608459E-1,-5.627697144E0,9.044192505E-1,5.771849827E0
1.931765708E0,-1.420545959E0,-6.708150330E0,5.050497437E-1,6.875485940E0
1.941836708E0,-1.551224213E0,-7.956105194E0,-1.331930237E0,8.214617737E0
1.951907708E0,-1.309925995E0,-9.200916595E0,-4.433929596E0,1.029720855E1
1.961947708E0,-1.148262177E0,-1.055679703E1,-8.109985199E0,1.336174874E1
1.972018708E0,-1.151705017E0,-1.168335434E1,-1.171598648E1,1.658588352E1
1.982089708E0,-1.285975800E0,-1.191522217E1,-1.484792358E1,1.908106621E1
1.992159708E0,-1.528172150E0,-1.143457169E1,-1.451456680E1,1.854069549E1
2.002200708E0,-1.538201294E0,-1.069675598E1,-1.191252777E1,1.608399732E1
2.012270708E0,-1.587897949E0,-9.722581787E0,-9.582024078E0,1.374282365E1
2.022341708E0,-1.470242615E0,-9.212592316E0,-7.627837830E0,1.205061743E1
2.032382708E0,-6.679110718E-1,-9.413624268E0,-6.271957397E0,1.133136694E1
2.042452708E0,5.471122742E-1,-1.014455429E1,-5.820945282E0,1.170874535E1
2.052523708E0,1.218166809E0,-1.085123474E1,-5.721402283E0,1.232751678E1
2.062563708E0,5.417234802E-1,-1.094928085E1,-5.219346313E0,1.214173758E1
2.072634708E0,-6.262976074E-1,-1.035082535E1,-4.218976593E0,1.119515956E1
2.082705708E0,-9.590556335E-1,-9.701625366E0,-3.536246338E0,1.037045614E1
2.092745708E0,-4.769082642E-1,-9.036408691E0,-3.485052795E0,9.696892106E0
2.102816708E0,1.546284485E-1,-8.601712646E0,-4.062252502E0,9.513951114E0
2.112887708E0,5.113366699E-1,-7.902516632E0,-5.396278381E0,9.582852116E0
2.122927708E0,4.326004028E-1,-6.117029572E0,-6.632108459E0,9.032721434E0
2.132998708E0,1.222208405E0,-3.813469849E0,-5.713917847E0,6.977478257E0
2.143069708E0,3.061583405E0,-3.352727966E0,-2.609224091E0,5.236614184E0
